# This run has the following parameters:
# time sites: 1000
# mass: 1
# time step: 0.1
# mu_squared: 1
# gauss height: 0
# gauss width: 1
# initial random width: 0.632456
# margin: 0.632456
# pre iterations: 50
# pre rounds: 5
# iterations: 300
# rounds: 5
# iterations between: 2
# position seed: 0
# accept seed: 0
# bootstrap samples: 1000
# position_hist_bins: 40
# action_hist_bins: 100
# ----
# j 	 x_j
0	0.791454
1	0.817383
2	1.03916
3	1.08968
4	1.31961
5	1.72274
6	1.32149
7	1.02472
8	1.45206
9	1.40129
10	1.21545
11	1.08778
12	0.816623
13	0.52488
14	0.676728
15	0.495207
16	0.821552
17	0.947124
18	0.387681
19	0.162103
20	-0.771178
21	-0.670457
22	-0.90724
23	-1.1918
24	-1.07938
25	-1.70209
26	-1.55678
27	-1.54954
28	-1.50001
29	-1.57635
30	-1.20077
31	-0.776425
32	-0.52852
33	-0.263185
34	-0.431548
35	0.0506206
36	-0.315653
37	-0.547076
38	-0.461914
39	-0.141052
40	0.0131051
41	0.0941573
42	-0.0712169
43	-0.113108
44	0.217138
45	0.774169
46	0.797992
47	0.406703
48	0.636949
49	0.270198
50	0.341801
51	0.0498027
52	0.538572
53	-0.254494
54	-0.687212
55	-0.406862
56	-0.65088
57	-0.35154
58	0.189072
59	0.474883
60	0.098709
61	0.88561
62	1.15105
63	1.36136
64	1.0729
65	0.480107
66	0.577469
67	0.718513
68	0.677329
69	0.940026
70	1.27698
71	1.26873
72	1.26362
73	1.09162
74	1.19034
75	1.35433
76	1.3381
77	1.47022
78	1.43573
79	1.56847
80	1.27995
81	0.767239
82	0.555917
83	0.436243
84	0.704334
85	0.180761
86	0.0118918
87	0.125601
88	0.168169
89	-0.0994255
90	0.00149783
91	0.666846
92	0.705895
93	0.483249
94	0.303186
95	0.44637
96	0.434081
97	0.400048
98	0.0931624
99	-0.112217
100	0.0866537
101	0.00431028
102	0.000271501
103	0.23867
104	0.198344
105	0.1686
106	0.290965
107	-0.346488
108	-0.0263291
109	-0.129736
110	-0.392007
111	-0.33932
112	-0.361919
113	-0.324433
114	0.0601478
115	0.0279701
116	-0.0291944
117	0.296568
118	0.217468
119	0.301269
120	-0.0690147
121	0.379991
122	-0.563841
123	-0.685301
124	-0.992213
