# This run has the following parameters:
# Algorithm version: 3
# time sites: 1000
# mass: 1
# time step: 0.1
# mu squared: 1
# inverse scattering length: 0
# gauss width: 1
# initial random width: 0.632456
# margin: 0.632456
# pre iterations: 50
# pre rounds: 5
# iterations: 100000
# rounds: 5
# iterations between: 2
# position seed: 0
# accept seed: 0
# bootstrap samples: 1000
# position hist_bins: 40
# action hist_bins: 100
# correlation size: 6
# correlation ts: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 
# export potential steps: 1000
# export potential bound: 5
# corr tau max: 6
# t_0: 1
# t_0 mode: 1
# ----
# tau 	 c??_val 	 c??_err
0.1	0.99971	0.00141087
0.2	0.550542	0.0540203
0.3	0.303338	0.0586182
0.4	0.165285	0.0549332
0.5	0.0991826	0.036698
0.6	0.0627606	0.0228057
0.7	0.0323993	0.0193939
0.8	0.0160798	0.0147345
0.9	0.00905857	0.0100209
1	0.00427113	0.00537819
1.1	0.00113506	0.00259702
1.2	0.000975345	0.00202125
1.3	0.0013575	0.00182984
1.4	0.00103164	0.00125927
1.5	0.000317321	0.000513283
1.6	0.000243155	0.000439974
1.7	0.000262558	0.000418931
1.8	0.000120449	0.00024036
1.9	3.43578e-05	0.000115587
2	1.27176e-05	9.46633e-05
2.1	-4.47254e-07	8.8498e-05
2.2	-2.43378e-06	7.12223e-05
2.3	2.27161e-05	9.58618e-05
2.4	6.82289e-05	0.000131226
2.5	2.19714e-05	8.42238e-05
2.6	3.75537e-05	0.000106439
2.7	8.59294e-05	0.000132212
2.8	0.00011758	0.000196295
2.9	0.000159752	0.000289409
3	0.000127497	0.000288233
3.1	5.74213e-05	0.000181081
3.2	2.82256e-06	9.90914e-05
3.3	-5.34326e-05	0.000113675
3.4	-2.50731e-05	8.14163e-05
3.5	-2.61185e-05	8.45737e-05
3.6	-2.51625e-05	8.11156e-05
3.7	-8.08328e-05	0.000155248
3.8	-1.74139e-05	8.38822e-05
3.9	-5.37323e-05	0.000130305
4	-2.65429e-05	8.31678e-05
4.1	-5.18987e-06	0.000107169
4.2	-2.39262e-06	0.000152527
4.3	-2.44458e-05	0.000180321
4.4	-6.37124e-05	0.00015456
4.5	-9.68619e-05	0.000178943
4.6	-9.21899e-05	0.00015192
4.7	-4.20211e-05	0.000122221
4.8	-1.93424e-05	9.10666e-05
4.9	-4.65044e-05	9.98035e-05
5	-4.78869e-05	9.61694e-05
5.1	-3.32477e-05	9.04154e-05
5.2	-8.13988e-06	7.26005e-05
5.3	-3.29076e-05	7.89368e-05
5.4	-2.43924e-05	6.56215e-05
5.5	-4.34184e-05	8.5958e-05
5.6	-7.80858e-05	0.000113649
5.7	-6.8079e-05	9.83226e-05
5.8	-2.44937e-05	6.2273e-05
5.9	-3.23431e-05	7.18958e-05
