# tau 	 c??_val 	 c??_err
0.2	0.565796	0.035056
0.3	0.293574	0.0296832
0.4	0.154315	0.0169006
0.5	0.0830134	0.010804
0.6	0.0444937	0.00950321
0.7	0.0221247	0.0035736
0.8	0.0110069	0.00197765
0.9	0.00634568	0.00166669
1	0.00357227	0.00205247
1.1	0.00132853	0.00171538
1.2	0.00125634	0.00156316
1.3	0.0016726	0.00114161
1.4	0.00139683	0.000683986
1.5	0.000507928	0.000402693
1.6	0.000246378	0.000277434
1.7	0.000204056	0.000255752
1.8	0.000122274	0.000211437
1.9	5.14564e-05	0.000180507
2	-3.51987e-05	0.000183467
2.1	-7.61906e-05	0.000180424
2.2	-3.03526e-05	0.000131716
2.3	-3.19983e-07	0.000132375
2.4	-3.97969e-06	0.000140073
2.5	1.00907e-05	0.000130079
2.6	1.13987e-05	0.000146717
2.7	2.75871e-05	0.000149255
2.8	2.18889e-05	0.000159063
2.9	-4.08226e-05	0.000173587
3	6.51688e-05	0.000191608
3.1	0.000114911	0.0002073
3.2	8.24153e-05	0.000175467
3.3	0.000171158	0.000216334
3.4	0.00015261	0.000180248
3.5	3.93199e-05	0.000175789
3.6	1.21021e-05	0.000166912
3.7	-6.29617e-05	0.000165496
3.8	-1.56774e-06	0.000130135
3.9	-1.18117e-05	0.000123207
4	1.72247e-06	0.000108333
4.1	3.18962e-05	0.000169701
4.2	0.00010007	0.000173877
4.3	9.91301e-05	0.000163998
4.4	7.96413e-05	0.000141863
4.5	4.57875e-05	0.000128557
4.6	2.17892e-05	0.000148101
4.7	-5.53997e-07	0.000145952
4.8	-3.95455e-05	0.000136183
4.9	-6.7402e-05	0.000126241
5	-1.10516e-05	9.38369e-05
5.1	5.42204e-05	0.000105244
5.2	0.000105929	0.000133185
5.3	8.51488e-05	0.000126475
5.4	4.72135e-05	0.000121368
5.5	-6.37588e-06	0.000114822
5.6	-4.20747e-05	0.000124725
5.7	-5.57564e-05	0.00012584
5.8	1.16669e-06	7.60393e-05
5.9	-1.90734e-05	0.000115825
