# tau 	 c??_val 	 c??_err
0.2	0.552222	0.0543134
0.3	0.305163	0.057965
0.4	0.167319	0.0541625
0.5	0.100277	0.0364697
0.6	0.0631902	0.0229626
0.7	0.0332537	0.0193968
0.8	0.0168235	0.014579
0.9	0.00954678	0.00990041
1	0.00451034	0.00534817
1.1	0.00115636	0.00259577
1.2	0.000979319	0.00198771
1.3	0.00142022	0.00180557
1.4	0.00106185	0.00122315
1.5	0.000307482	0.000473681
1.6	0.000237533	0.000410649
1.7	0.000267335	0.00040866
1.8	0.000128148	0.000258592
1.9	3.49721e-05	0.000126964
2	1.43905e-05	0.00010006
2.1	-2.63504e-06	9.35995e-05
2.2	-4.13967e-06	7.81454e-05
2.3	2.52981e-05	9.88168e-05
2.4	7.44904e-05	0.000135771
2.5	2.06181e-05	7.49859e-05
2.6	3.84794e-05	0.000105166
2.7	8.99675e-05	0.000137468
2.8	0.000118663	0.000188668
2.9	0.000172346	0.000297198
3	0.000133083	0.000282361
3.1	6.5821e-05	0.000190672
3.2	2.16475e-06	9.86151e-05
3.3	-5.55552e-05	0.000106884
3.4	-2.68986e-05	8.14738e-05
3.5	-2.44369e-05	8.54107e-05
3.6	-2.31893e-05	8.43309e-05
3.7	-8.62776e-05	0.000158927
3.8	-1.53707e-05	8.21092e-05
3.9	-5.68767e-05	0.00013461
4	-2.56885e-05	8.19088e-05
4.1	-4.08835e-06	0.000102859
4.2	1.17451e-06	0.000145721
4.3	-1.32912e-05	0.000170184
4.4	-5.91136e-05	0.000151479
4.5	-9.43921e-05	0.000175944
4.6	-0.000101579	0.000154541
4.7	-4.41434e-05	0.000124049
4.8	-2.05065e-05	9.50313e-05
4.9	-4.71199e-05	0.000102704
5	-4.67758e-05	9.13972e-05
5.1	-3.36058e-05	9.00701e-05
5.2	-9.97202e-06	7.58827e-05
5.3	-3.79866e-05	8.39291e-05
5.4	-2.95936e-05	7.36795e-05
5.5	-4.33723e-05	9.11049e-05
5.6	-8.45316e-05	0.000123113
5.7	-7.08011e-05	0.000104376
5.8	-2.89522e-05	6.81683e-05
5.9	-3.693e-05	7.90216e-05
