# j 	 x_j
0	2.3329
1	2.06975
2	1.97278
3	1.39835
4	1.40365
5	1.6113
6	1.30396
7	1.34215
8	1.87514
9	2.03709
10	1.59267
11	1.69448
12	1.05707
13	0.911699
14	1.26858
15	1.27367
16	1.27103
17	0.978386
18	0.923585
19	0.724054
20	-0.35073
21	-0.679252
22	-0.777508
23	-0.719556
24	-0.706609
25	-1.21961
26	-1.29339
27	-1.39236
28	-1.62386
29	-2.10641
30	-1.89735
31	-1.45691
32	-0.97419
33	-0.418595
34	-0.51954
35	-0.211571
36	-0.664258
37	-1.18285
38	-0.998524
39	-0.203095
40	-0.140192
41	0.325471
42	0.567849
43	1.15025
44	1.33442
45	1.50105
46	1.70416
47	1.53548
48	1.71453
49	2.05016
50	1.72705
51	1.79078
52	1.34166
53	0.91338
54	1.13051
55	0.938139
56	0.637202
57	0.0346403
58	0.144528
59	-0.360908
60	-0.765076
61	-0.580219
62	-0.553053
63	-0.691774
64	-0.803514
65	-1.24682
66	-0.845391
67	-1.20968
68	-1.13986
69	-0.873044
70	-0.760211
71	0.287886
72	0.572486
73	0.540303
74	0.681106
75	1.28573
76	1.88797
77	1.96081
78	2.26697
79	2.43776
80	2.26129
81	1.85051
82	1.20984
83	0.758063
84	0.63323
85	0.345909
86	-0.352672
87	-0.47511
88	-0.792176
89	-1.56131
90	-1.19202
91	-0.982485
92	-0.911162
93	-1.42744
94	-1.60845
95	-1.3757
96	-1.26555
97	-1.25996
98	-1.23184
99	-1.37197
100	-1.12294
101	-1.47607
102	-1.24209
103	-0.786615
104	-0.854122
105	-1.11394
106	-1.1507
107	-1.62849
108	-1.08532
109	-0.22668
110	0.0206399
111	0.0626356
112	0.469134
113	0.784668
114	0.867889
115	0.842782
116	1.24366
117	1.09257
118	1.11674
119	1.07037
120	0.836564
121	1.2903
122	0.864695
123	0.702443
124	0.844666
125	1.0534
126	1.00535
127	1.18267
128	0.761188
129	0.0398837
130	0.58613
131	0.302912
132	0.511385
133	0.10115
134	0.263359
135	0.949951
136	0.929723
137	1.24661
138	1.59222
139	1.82142
140	2.06679
141	1.8186
142	1.55604
143	1.55803
144	1.5429
145	1.01546
146	1.48357
147	1.23297
148	1.39558
149	1.19918
150	1.09727
151	1.03317
152	1.16037
153	1.42417
154	1.04235
155	0.559154
156	-0.0317865
157	0.092625
158	0.228299
159	-0.89243
160	-0.896859
161	-1.01978
162	-1.21476
163	-1.40747
164	-1.67129
165	-1.4724
166	-1.1692
167	-1.22191
168	-1.26795
169	-1.59219
170	-1.64467
171	-1.51901
172	-1.26199
173	-1.3236
174	-1.28191
175	-1.07452
176	-1.5578
177	-1.73004
178	-0.837226
179	-1.31122
180	-1.39265
181	-1.65476
182	-1.67318
183	-1.92859
184	-1.71591
185	-1.74631
186	-1.5474
187	-1.44678
188	-1.41269
189	-1.68486
190	-1.7381
191	-1.3254
192	-1.07656
193	-1.38157
194	-0.949318
195	-0.98112
196	-0.638833
197	-0.381366
198	-0.645074
199	-0.573018
200	-0.837383
201	-1.10528
202	-1.26023
203	-1.2585
204	-1.11618
205	-1.38398
206	-1.47668
207	-1.94008
208	-1.99353
209	-1.79117
210	-1.53759
211	-1.61658
212	-1.7645
213	-1.72618
214	-1.80579
215	-1.66609
216	-1.92192
217	-1.14489
218	-1.47431
219	-0.994264
220	-0.656385
221	-0.439901
222	-0.215797
223	0.109949
224	0.312272
225	0.340958
226	0.133308
227	0.309178
228	0.333128
229	0.211995
230	0.409664
231	0.304446
232	-0.54918
233	-0.731091
234	-0.757082
235	-0.764789
236	-0.847976
237	-1.30081
238	-1.28808
239	-1.00372
240	-1.10099
241	-1.34016
242	-1.35768
243	-1.54651
244	-1.42865
245	-1.32361
246	-1.18337
247	-1.33289
248	-1.14399
249	-1.00309
250	-1.80151
251	-1.23122
